"hash","LR","pred_multi100"
"8c18a482fc143c5660b57812bb3a06d2",7,0.185332
"8c18a482fc143c5660b57812bb3a06d2",7.5,0.135452
"8c18a482fc143c5660b57812bb3a06d2",8,0.092215
"8c18a482fc143c5660b57812bb3a06d2",8.5,0.058287
"8c18a482fc143c5660b57812bb3a06d2",9,0.034217
"8c18a482fc143c5660b57812bb3a06d2",9.5,0.018712
"8c18a482fc143c5660b57812bb3a06d2",10,0.009574
"aae673cfa50aa18ca36647bf095bb398",0,0.76825
"aae673cfa50aa18ca36647bf095bb398",0.5,0.715619
"aae673cfa50aa18ca36647bf095bb398",1,0.666608
"aae673cfa50aa18ca36647bf095bb398",1.5,0.624104
"aae673cfa50aa18ca36647bf095bb398",2,0.590025
"aae673cfa50aa18ca36647bf095bb398",2.5,0.565471
"aae673cfa50aa18ca36647bf095bb398",3,0.550977
"aae673cfa50aa18ca36647bf095bb398",3.5,0.546759
"aae673cfa50aa18ca36647bf095bb398",4,0.552863
"aae673cfa50aa18ca36647bf095bb398",4.5,0.569219
"aae673cfa50aa18ca36647bf095bb398",5,0.595567
"aae673cfa50aa18ca36647bf095bb398",5.5,0.631289
"aae673cfa50aa18ca36647bf095bb398",6,0.675155
"aae673cfa50aa18ca36647bf095bb398",6.5,0.725071
"aae673cfa50aa18ca36647bf095bb398",7,0.777981
"aae673cfa50aa18ca36647bf095bb398",7.5,0.830079
"aae673cfa50aa18ca36647bf095bb398",8,0.877459
"aae673cfa50aa18ca36647bf095bb398",8.5,0.917041
"aae673cfa50aa18ca36647bf095bb398",9,0.947336
"aae673cfa50aa18ca36647bf095bb398",9.5,0.968607
"aae673cfa50aa18ca36647bf095bb398",10,0.982376
"34f62924bb628f522e70bd3ea25497f3",0,0.265799
"34f62924bb628f522e70bd3ea25497f3",0.5,0.222077
"34f62924bb628f522e70bd3ea25497f3",1,0.187941
"34f62924bb628f522e70bd3ea25497f3",1.5,0.161806
"34f62924bb628f522e70bd3ea25497f3",2,0.142198
"34f62924bb628f522e70bd3ea25497f3",2.5,0.127887
"34f62924bb628f522e70bd3ea25497f3",3,0.117921
"34f62924bb628f522e70bd3ea25497f3",3.5,0.111617
"34f62924bb628f522e70bd3ea25497f3",4,0.108541
"34f62924bb628f522e70bd3ea25497f3",4.5,0.108479
"34f62924bb628f522e70bd3ea25497f3",5,0.111425
"34f62924bb628f522e70bd3ea25497f3",5.5,0.117585
"34f62924bb628f522e70bd3ea25497f3",6,0.127386
"34f62924bb628f522e70bd3ea25497f3",6.5,0.141497
"34f62924bb628f522e70bd3ea25497f3",7,0.160859
"34f62924bb628f522e70bd3ea25497f3",7.5,0.186691
"34f62924bb628f522e70bd3ea25497f3",8,0.220458
"34f62924bb628f522e70bd3ea25497f3",8.5,0.263746
"34f62924bb628f522e70bd3ea25497f3",9,0.317973
"34f62924bb628f522e70bd3ea25497f3",9.5,0.383909
"34f62924bb628f522e70bd3ea25497f3",10,0.461012
"be527bb1ed65d93b94b819da7d73c8bf",0,0.296447
"be527bb1ed65d93b94b819da7d73c8bf",0.5,0.250334
"be527bb1ed65d93b94b819da7d73c8bf",1,0.215605
"be527bb1ed65d93b94b819da7d73c8bf",1.5,0.190451
"be527bb1ed65d93b94b819da7d73c8bf",2,0.173253
"be527bb1ed65d93b94b819da7d73c8bf",2.5,0.162774
"be527bb1ed65d93b94b819da7d73c8bf",3,0.158214
"be527bb1ed65d93b94b819da7d73c8bf",3.5,0.159217
"be527bb1ed65d93b94b819da7d73c8bf",4,0.165862
"be527bb1ed65d93b94b819da7d73c8bf",4.5,0.178664
"be527bb1ed65d93b94b819da7d73c8bf",5,0.198586
"be527bb1ed65d93b94b819da7d73c8bf",5.5,0.227014
"be527bb1ed65d93b94b819da7d73c8bf",6,0.265666
"be527bb1ed65d93b94b819da7d73c8bf",6.5,0.316338
"be527bb1ed65d93b94b819da7d73c8bf",7,0.38038
"be527bb1ed65d93b94b819da7d73c8bf",7.5,0.457887
"be527bb1ed65d93b94b819da7d73c8bf",8,0.546725
"be527bb1ed65d93b94b819da7d73c8bf",8.5,0.641846
"be527bb1ed65d93b94b819da7d73c8bf",9,0.735558
"be527bb1ed65d93b94b819da7d73c8bf",9.5,0.819273
"be527bb1ed65d93b94b819da7d73c8bf",10,0.886311
"76e7788f7d04a7155d86bfe9162b4240",0,0.285271
"76e7788f7d04a7155d86bfe9162b4240",0.5,0.239339
"76e7788f7d04a7155d86bfe9162b4240",1,0.206042
"76e7788f7d04a7155d86bfe9162b4240",1.5,0.183371
"76e7788f7d04a7155d86bfe9162b4240",2,0.169605
"76e7788f7d04a7155d86bfe9162b4240",2.5,0.163575
"76e7788f7d04a7155d86bfe9162b4240",3,0.164738
"76e7788f7d04a7155d86bfe9162b4240",3.5,0.173199
"76e7788f7d04a7155d86bfe9162b4240",4,0.18971
"76e7788f7d04a7155d86bfe9162b4240",4.5,0.215635
"76e7788f7d04a7155d86bfe9162b4240",5,0.252829
"76e7788f7d04a7155d86bfe9162b4240",5.5,0.303292
"76e7788f7d04a7155d86bfe9162b4240",6,0.368486
"76e7788f7d04a7155d86bfe9162b4240",6.5,0.448305
"76e7788f7d04a7155d86bfe9162b4240",7,0.540085
"76e7788f7d04a7155d86bfe9162b4240",7.5,0.638406
"76e7788f7d04a7155d86bfe9162b4240",8,0.736034
"76e7788f7d04a7155d86bfe9162b4240",8.5,0.82493
"76e7788f7d04a7155d86bfe9162b4240",9,0.89692
"76e7788f7d04a7155d86bfe9162b4240",9.5,0.946667
"76e7788f7d04a7155d86bfe9162b4240",10,0.975506
"6918060d3b4662ceba4858d711005eac",0,0.038533
"6918060d3b4662ceba4858d711005eac",0.5,0.044347
"6918060d3b4662ceba4858d711005eac",1,0.050439
"6918060d3b4662ceba4858d711005eac",1.5,0.0567
"6918060d3b4662ceba4858d711005eac",2,0.063004
"6918060d3b4662ceba4858d711005eac",2.5,0.069213
"6918060d3b4662ceba4858d711005eac",3,0.075182
"6918060d3b4662ceba4858d711005eac",3.5,0.080766
"6918060d3b4662ceba4858d711005eac",4,0.085821
"6918060d3b4662ceba4858d711005eac",4.5,0.090216
"6918060d3b4662ceba4858d711005eac",5,0.093835
"6918060d3b4662ceba4858d711005eac",5.5,0.09658
"6918060d3b4662ceba4858d711005eac",6,0.098376
"6918060d3b4662ceba4858d711005eac",6.5,0.099175
"6918060d3b4662ceba4858d711005eac",7,0.098954
