"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"none",FALSE,FALSE,TRUE,3,3,0.012885,-0.021788,0.054643,0.16769
"lemmatization",FALSE,FALSE,TRUE,3,3,-0.004427,-0.040507,0.032227,0.162235
"stemming",FALSE,FALSE,TRUE,3,3,-0.005065,-0.010902,-0.000535,0.117974
"none",TRUE,TRUE,FALSE,3,3,0.015491,-0.012299,0.043805,0.283038
"lemmatization",TRUE,TRUE,FALSE,3,3,-0.009749,-0.038952,0.019129,0.266485
"stemming",TRUE,TRUE,FALSE,3,3,-0.032869,-0.062802,-0.003261,0.380058
"none",FALSE,TRUE,FALSE,3,3,0.014725,-0.006287,0.035052,0.237008
"lemmatization",FALSE,TRUE,FALSE,3,3,0.034107,0.010303,0.058731,0.309304
"stemming",FALSE,TRUE,FALSE,3,3,0.01772,-0.007621,0.042338,0.229685
"none",TRUE,FALSE,FALSE,3,3,-0.002553,-0.03494,0.029911,0.183396
"lemmatization",TRUE,FALSE,FALSE,3,3,-0.056285,-0.094097,-0.017595,0.150281
"stemming",TRUE,FALSE,FALSE,3,3,0.017646,-0.016996,0.050361,0.308944
"none",FALSE,FALSE,FALSE,3,3,0.008555,-0.020877,0.038014,0.114086
"lemmatization",FALSE,FALSE,FALSE,3,3,0.033822,0.008881,0.055989,0.142857
"stemming",FALSE,FALSE,FALSE,3,3,0.028259,-0.001516,0.056585,0.185599
