"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","anchor_variant"
"lemmatization",TRUE,TRUE,FALSE,3,1,-0.007119,-0.037286,0.021789,"max_gendered"
"lemmatization",TRUE,TRUE,FALSE,3,1,0.036005,0.011216,0.060592,"highest_overlap"
"lemmatization",TRUE,TRUE,FALSE,3,1,0.036005,0.011216,0.060592,"social_contacts"
"stemming",TRUE,TRUE,FALSE,3,1,-0.034923,-0.063924,-0.00589,"max_gendered"
"stemming",TRUE,TRUE,FALSE,3,1,-0.023199,-0.05268,0.002995,"highest_overlap"
"stemming",TRUE,TRUE,FALSE,3,1,-0.023199,-0.05268,0.002995,"social_contacts"
"none",FALSE,TRUE,FALSE,3,1,0.01068,-0.008344,0.030631,"max_gendered"
"none",FALSE,TRUE,FALSE,3,1,0.028748,0.004828,0.052504,"highest_overlap"
"none",FALSE,TRUE,FALSE,3,1,0.028748,0.004828,0.052504,"social_contacts"
"lemmatization",FALSE,TRUE,FALSE,3,1,0.029687,0.006048,0.054709,"max_gendered"
"lemmatization",FALSE,TRUE,FALSE,3,1,0.035389,0.009794,0.061359,"highest_overlap"
"lemmatization",FALSE,TRUE,FALSE,3,1,0.035389,0.009794,0.061359,"social_contacts"
"stemming",FALSE,TRUE,FALSE,3,1,0.021482,-0.003193,0.046237,"max_gendered"
"stemming",FALSE,TRUE,FALSE,3,1,0.013054,-0.012283,0.038118,"highest_overlap"
"stemming",FALSE,TRUE,FALSE,3,1,0.013054,-0.012283,0.038118,"social_contacts"
"none",TRUE,FALSE,FALSE,3,1,-0.001667,-0.037309,0.032931,"max_gendered"
"none",TRUE,FALSE,FALSE,3,1,0.002968,-0.033516,0.04126,"highest_overlap"
"none",TRUE,FALSE,FALSE,3,1,0.002968,-0.033516,0.04126,"social_contacts"
"lemmatization",TRUE,FALSE,FALSE,3,1,-0.055049,-0.093094,-0.01822,"max_gendered"
"lemmatization",TRUE,FALSE,FALSE,3,1,0.020063,-0.019338,0.059875,"highest_overlap"
"lemmatization",TRUE,FALSE,FALSE,3,1,0.020063,-0.019338,0.059875,"social_contacts"
"stemming",TRUE,FALSE,FALSE,3,1,0.01883,-0.012867,0.04914,"max_gendered"
"stemming",TRUE,FALSE,FALSE,3,1,0.078063,0.045751,0.10827,"highest_overlap"
"stemming",TRUE,FALSE,FALSE,3,1,0.078063,0.045751,0.10827,"social_contacts"
"none",FALSE,FALSE,FALSE,3,1,0.007597,-0.020895,0.037877,"max_gendered"
"none",FALSE,FALSE,FALSE,3,1,0.048859,0.01981,0.077218,"highest_overlap"
"none",FALSE,FALSE,FALSE,3,1,0.048859,0.01981,0.077218,"social_contacts"
"lemmatization",FALSE,FALSE,FALSE,3,1,0.035598,0.011271,0.059085,"max_gendered"
"lemmatization",FALSE,FALSE,FALSE,3,1,0.035598,0.011271,0.059085,"highest_overlap"
"lemmatization",FALSE,FALSE,FALSE,3,1,0.035598,0.011271,0.059085,"social_contacts"
"stemming",FALSE,FALSE,FALSE,3,1,0.028407,-0.000703,0.057434,"max_gendered"
"stemming",FALSE,FALSE,FALSE,3,1,0.027811,-0.00491,0.060146,"highest_overlap"
"stemming",FALSE,FALSE,FALSE,3,1,0.027811,-0.00491,0.060146,"social_contacts"
"none",TRUE,TRUE,TRUE,1,2,0.00104,-0.009489,0.010141,"max_gendered"
"none",TRUE,TRUE,TRUE,1,2,0.08212,0.046034,0.124889,"highest_overlap"
"none",TRUE,TRUE,TRUE,1,2,0.08212,0.046034,0.124889,"social_contacts"
"lemmatization",TRUE,TRUE,TRUE,1,2,-0.006268,-0.017834,0.003187,"max_gendered"
